ANO;UF;VAGA;NOME;NOME_URNA;DEFERIMENTO;NÚMERO;PARTIDO;NOME_PARTIDO;COLIGAÇÃO;NOME_COLIGAÇÃO;PROFISSÃO;GÊNERO;ENSINO;ESTADO_CIVIL;NACIONALIDADE;NATURALIDADE;MUNICÍPIO;SITUAÇÃO_FINAL
2006;RJ;GOVERNADOR;ALEXANDRE FURTADO;ALEXANDRE FURTADO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;#NE#;#NE#;OUTROS;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;NÃO ELEITO
2006;RJ;GOVERNADOR;CARLOS ROBERTO LUPI;LUPI;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;#NE#;#NE#;ADMINISTRADOR;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRASILEIRA NATA;SP;SÃO PAULO;NÃO ELEITO
2006;RJ;GOVERNADOR;DENISE FROSSARD LOSCHI;DENISE FROSSARD;DEFERIDO;23;PPS;PARTIDO POPULAR SOCIALISTA;#NE#;UNIR PARA MUDAR;DEPUTADO;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRASILEIRA NATA;MG;CARANGOLA;2º TURNO
2006;RJ;GOVERNADOR;EDUARDO DA COSTA PAES;EDUARDO PAES;DEFERIDO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;#NE#;#NE#;DEPUTADO;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;NÃO ELEITO
2006;RJ;GOVERNADOR;ELIANE SANTOS DA CUNHA;ELIANE CUNHA;DEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;#NE#;#NE#;EMPRESÁRIO;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;NÃO ELEITO
2006;RJ;GOVERNADOR;JORGE MILTON TEMER;MILTON TEMER;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;#NE#;FRENTE DE ESQUERDA;MILITAR REFORMADO;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;NÃO ELEITO
2006;RJ;GOVERNADOR;LUIZ CARLOS DA ROCHA NOVAES;LUIZ NOVAES;DEFERIDO;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;#NE#;#NE#;ADMINISTRADOR;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;ENGENHEIRO PAULO DE FRONTIN;NÃO ELEITO
2006;RJ;GOVERNADOR;MARCELO BEZERRA CRIVELLA;MARCELO CRIVELLA;DEFERIDO;10;PRB;PARTIDO REPUBLICANO BRASILEIRO;#NE#;CRESCENDO COM O RIO;SENADOR;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;NÃO ELEITO
2006;RJ;GOVERNADOR;SERGIO DE OLIVEIRA CABRAL SANTOS FILHO;SERGIO CABRAL;DEFERIDO;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;#NE#;UNIDOS PELO RIO;SENADOR;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;2º TURNO
2006;RJ;GOVERNADOR;THELMA MARIA DA SILVA BASTOS;THELMA MARIA;DEFERIDO;29;PCO;PARTIDO DA CAUSA OPERÁRIA;#NE#;#NE#;PEDAGOGO;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRASILEIRA NATA;DF;BRASILIA;NÃO ELEITO
2006;RJ;GOVERNADOR;VLADIMIR GRACINDO SOARES PALMEIRA;VLADIMIR;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;#NE#;UM RIO PARA TODOS;PROFESSOR DE ENSINO SUPERIOR;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRASILEIRA NATA;AL;MACEIÓ;NÃO ELEITO
2006;RJ;VICE-GOVERNADOR;ADELGICIO EMIDIO DE ALMEIDA;DR DEL;DEFERIDO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;#NE#;UM RIO PARA TODOS;MÉDICO;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRASILEIRA NATA;MG;GUIRICEMA;#NE#
2006;RJ;VICE-GOVERNADOR;ANGELICA RODRIGUES VELOSO;ANGELICA VELOSO;DEFERIDO;29;PCO;PARTIDO DA CAUSA OPERÁRIA;#NE#;#NE#;PROFESSOR DE ENSINO FUNDAMENTAL;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;#NE#
2006;RJ;VICE-GOVERNADOR;CARLOS CORREIA;CARLOS CORREIA;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;#NE#;#NE#;SERVIDOR PÚBLICO CIVIL APOSENTADO;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;SÃO JOÃO DE MERITI;#NE#
