ANO;UF;VAGA;NOME;NOME_URNA;DEFERIMENTO;NÚMERO;PARTIDO;NOME_PARTIDO;COLIGAÇÃO;NOME_COLIGAÇÃO;PROFISSÃO;GÊNERO;ENSINO;ESTADO_CIVIL;NACIONALIDADE;NATURALIDADE;MUNICÍPIO;SITUAÇÃO_FINAL
2018;RJ;DEPUTADO ESTADUAL;MAURICIO DA CONCEIÇÃO SILVA;MAURICIO VIGILANTE;DEFERIDO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;PSB;PARTIDO ISOLADO;VIGILANTE;MASCULINO;ENSINO MÉDIO INCOMPLETO;CASADO(A);BRASILEIRA NATA;RJ;ANGRA DOS REIS;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;JOBSON MELO DE ALMEIDA;JOBSON MELO;DEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;PRP;PARTIDO ISOLADO;SERVIDOR PÚBLICO MUNICIPAL;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;PAULO SERGIO DE JUNIOR;PAULINHO DO AVIARIO;DEFERIDO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;PROS;PARTIDO ISOLADO;COMERCIANTE;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);BRASILEIRA NATA;PE;CALORI;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;BRUNO DE MELO DERTONI;BRUNO DERTONI;DEFERIDO;27;DC;DEMOCRACIA CRISTÃ;PV / DC;Rio Sustentável;CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;SUPLENTE
2018;RJ;DEPUTADO FEDERAL;ELIETE DE SIQUEIRA SILVA;ELIETE SIQUEIRA;RENÚNCIA;19;PODE;PODEMOS;PODE / PR;JUNTOS PELO RIO;DONA DE CASA;FEMININO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;#NULO#
2018;RJ;DEPUTADO ESTADUAL;MARCOS ELIAS ESCAFURA DA SILVA;PASTOR MARCOS ELIAS ;DEFERIDO;20;PSC;PARTIDO SOCIAL CRISTÃO;PSC;PARTIDO ISOLADO;REPRESENTANTE COMERCIAL;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;CAMPOS DOS GOYTACAZES;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;ANDERSON MESSIAS LEAL;PROFESSOR ANDERSON MESSIAS;DEFERIDO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;PRTB;PARTIDO ISOLADO;PROFESSOR DE ENSINO MÉDIO;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;SUPLENTE
2018;RJ;DEPUTADO FEDERAL;JACINTA DE LOURDES SILVA FARIAS;JACINTA;DEFERIDO;27;DC;DEMOCRACIA CRISTÃ;PV / DC;Rio Sustentável;OUTROS;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRASILEIRA NATA;PB;ASFASDFADA;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;WANDERLI DOS SANTOS;WANDERLI SANTOS;DEFERIDO;43;PV;PARTIDO VERDE;PV / DC;Rio Sustentável;EMPRESÁRIO;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;FÁBIO MARCOS DA SILVA FERNANDES;FABINHO;DEFERIDO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;PRTB;PARTIDO ISOLADO;APOSENTADO (EXCETO SERVIDOR PÚBLICO);MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;SUPLENTE
