ANO;UF;VAGA;NOME;NOME_URNA;DEFERIMENTO;NÚMERO;PARTIDO;NOME_PARTIDO;COLIGAÇÃO;NOME_COLIGAÇÃO;PROFISSÃO;GÊNERO;ENSINO;ESTADO_CIVIL;NACIONALIDADE;NATURALIDADE;MUNICÍPIO;SITUAÇÃO_FINAL
2002;RJ;GOVERNADOR;JORGE ROBERTO SAAD SILVEIRA;JORGE ROBERTO SILVEIRA;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;PDT / PTB / PPS ;COLIGAÇÃO FRENTE TRABALHISTA RIO;JORNALISTA E REDATOR;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;NITEROI;NÃO ELEITO
2002;RJ;GOVERNADOR;BENEDITA SOUZA DA SILVA SAMPAIO;BENEDITA DA SILVA;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;PT / PCB / PMN / PC do B;COLIGAÇÃO VIVA O RIO 2002;ASSISTENTE SOCIAL;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;NÃO ELEITO
2002;RJ;GOVERNADOR;CYRO GARCIA;CYRO GARCIA;DEFERIDO;16;PSTU;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;#NULO#;#NULO#;BANCARIO E ECONOMIARIO;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRASILEIRA NATA;MG;MANHUMIRIM;NÃO ELEITO
2002;RJ;GOVERNADOR;SOLANGE AMARAL;SOLANGE AMARAL;DEFERIDO;25;PFL;PARTIDO DA FRENTE LIBERAL;PFL / PMDB / PSDB;COLIGAÇÃO TODOS PELO RIO;SENADOR, DEPUTADO E VEREADOR;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;NÃO ELEITO
2002;RJ;GOVERNADOR;ALEXANDRE COBBETT STAEL COSME;COBBETT;RENÚNCIA;26;PAN;PARTIDO DOS APOSENTADOS DA NAÇÃO;#NULO#;#NULO#;ECONOMISTA;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;NÃO ELEITO
2002;RJ;GOVERNADOR;ALEXANDRE COBBETT STAEL COSME;COBBETT;RENÚNCIA;26;PAN;PARTIDO DOS APOSENTADOS DA NAÇÃO;#NULO#;#NULO#;ECONOMISTA;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;RENÚNCIA/FALECIMENTO COM SUBSTITUIÇÃO
2002;RJ;GOVERNADOR;PAULO SERGIO RIBEIRO DE PINHO;PAULO SERGIO;DEFERIDO;29;PCO;PARTIDO DA CAUSA OPERÁRIA;#NULO#;#NULO#;NÃO INFORMADA;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRASILEIRA NATA;RJ;SAO GONCALO;NÃO ELEITO
2002;RJ;GOVERNADOR;ROSANGELA BARROS ASSED MATHEUS DE OLIVEIRA;ROSINHA GAROTINHO;DEFERIDO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;PSB / PPB / PST / PTC / PSC / PRP / PSD / PGT;COLIGAÇÃO RIO ESPERANÇA;LOCUTOR E COMENTARISTA DE RADIO E TELEVISAO E RADIALISTA;FEMININO;MÉDIO COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;ITAPERUNA;ELEITO
2002;RJ;GOVERNADOR;ASPÁSIA BRASILEIRO ALCÂNTARA DE CAMARGO;ASPÁSIA;DEFERIDO;43;PV;PARTIDO VERDE;#NULO#;#NULO#;DIRETOR DE EMPRESAS;FEMININO;SUPERIOR COMPLETO;SEPARADO(A) JUDICIALMENTE;BRASILEIRA NATA;RJ;RIO DE JANEIRO;NÃO ELEITO
2002;RJ;GOVERNADOR;JOSÉ AUGUSTO RAMOS DA SILVEIRA;JOSE AUGUSTO SILVEIRA;RENÚNCIA;43;PV;PARTIDO VERDE;#NULO#;#NULO#;ODONTOLOGO;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRASILEIRA NATA;MA;TUTÓIA;NÃO ELEITO
