ANO;UF;VAGA;NOME;NOME_URNA;DEFERIMENTO;NÚMERO;PARTIDO;NOME_PARTIDO;COLIGAÇÃO;NOME_COLIGAÇÃO;PROFISSÃO;GÊNERO;ENSINO;ESTADO_CIVIL;NACIONALIDADE;NATURALIDADE;MUNICÍPIO;SITUAÇÃO_FINAL
2010;RJ;GOVERNADOR;CYRO GARCIA;CYRO GARCIA;DEFERIDO;16;PSTU;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;#NE#;#NE#;BANCÁRIO E ECONOMIÁRIO;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRASILEIRA NATA;MG;MANHUMIRIM;NÃO ELEITO
2010;RJ;GOVERNADOR;EDUARDO GONÇALVES SERRA;EDUARDO SERRA;DEFERIDO;21;PCB;PARTIDO COMUNISTA BRASILEIRO;#NE#;#NE#;SERVIDOR PÚBLICO FEDERAL;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;NÃO ELEITO
2010;RJ;GOVERNADOR;FERNANDO OTAVIO DE FREITAS PEREGRINO;FERNANDO PEREGRINO;DEFERIDO;22;PR;PARTIDO DA REPÚBLICA;#NE#;A FORÇA DO POVO - PR E PTDOB;ENGENHEIRO;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRASILEIRA NATA;PA;PARAIBA;NÃO ELEITO
2010;RJ;GOVERNADOR;FERNANDO PAULO NAGLE GABEIRA;GABEIRA;DEFERIDO;43;PV;PARTIDO VERDE;#NE#;RIO ESPERANÇA;JORNALISTA E REDATOR;MASCULINO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);BRASILEIRA NATA;MG;JUIZ DE FORA;NÃO ELEITO
2010;RJ;GOVERNADOR;JEFFERSON DAVIDSON DIAS DE MOURA;JEFFERSON MOURA;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;#NE#;#NE#;SOCIÓLOGO;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;VOLTA REDONDA;NÃO ELEITO
2010;RJ;GOVERNADOR;SERGIO DE OLIVEIRA CABRAL SANTOS FILHO;SERGIO CABRAL;DEFERIDO;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;#NE#;JUNTOS PELO RIO;GOVERNADOR;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;ELEITO
2010;RJ;VICE-GOVERNADOR;DAVID CABRAL;DAVID CABRAL;DEFERIDO;22;PR;PARTIDO DA REPÚBLICA;#NE#;A FORÇA DO POVO - PR E PTDOB;SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRASILEIRA NATA;SP;SANTO ANDRÉ;#NE#
2010;RJ;VICE-GOVERNADOR;FLAVIO ALVES SERAFINI;FLAVIO SERAFINI;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;#NE#;#NE#;SOCIÓLOGO;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;#NE#
2010;RJ;VICE-GOVERNADOR;LUIZ FERNANDO DE SOUZA;PEZÃO;DEFERIDO;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;#NE#;JUNTOS PELO RIO;OUTROS;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;PIRAI;#NE#
2010;RJ;VICE-GOVERNADOR;MARCIO JOAO DE ANDRADE FORTES;MARCIO FORTES;DEFERIDO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;#NE#;RIO ESPERANÇA;ENGENHEIRO;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRASILEIRA NATA;MG;MINAS GERAIS;#NE#
